# x_m, y_m, w_tr_right_m, w_tr_left_m
24.4098,67.1658,6.8,6.8
24.3928,67.0673,6.8,6.8
24.3766,66.9687,6.7,6.7
24.3612,66.8699,6.7,6.7
24.3449,66.7712,6.7,6.7
24.3289,66.6725,6.9,6.9
24.3130,66.5738,6.8,6.8
24.2974,66.4751,6.8,6.8
24.2816,66.3763,6.8,6.8
24.2653,66.2777,6.8,6.8
24.2493,66.1790,6.8,6.8
24.2344,66.0801,6.8,6.8
24.2190,65.9814,6.8,6.8
24.2033,65.8826,6.9,6.9
24.1879,65.7838,6.9,6.9
24.1727,65.6850,6.9,6.9
24.1576,65.5862,6.9,6.9
24.1418,65.4875,6.9,6.9
24.1260,65.3887,6.8,6.8
24.1106,65.2899,6.8,6.8
24.0948,65.1912,7.0,7.0
24.0785,65.0926,6.9,6.9
24.0626,64.9939,6.9,6.9
24.0476,64.8950,6.9,6.9
24.0330,64.7961,6.9,6.9
24.0178,64.6973,6.9,6.9
24.0022,64.5985,6.9,6.9
23.9869,64.4997,6.9,6.9
23.9717,64.4009,7.0,7.0
23.9566,64.3021,7.0,7.0
23.9418,64.2032,7.0,7.0
23.9265,64.1044,7.0,7.0
23.9108,64.0056,7.0,7.0
23.8955,63.9068,6.9,6.9
23.8803,63.8080,6.9,6.9
23.8653,63.7092,6.9,6.9
23.8505,63.6103,7.0,7.0
23.8357,63.5114,7.0,7.0
23.8212,63.4125,7.0,7.0
23.8064,63.3136,7.0,7.0
23.7909,63.2148,7.0,7.0
23.7757,63.1160,7.0,7.0
23.7605,63.0172,7.0,7.0
23.7455,62.9183,7.0,7.0
23.7307,62.8195,7.0,7.0
23.7160,62.7206,7.0,7.0
23.7015,62.6216,7.0,7.0
23.6871,62.5227,7.0,7.0
23.6729,62.4237,7.0,7.0
23.6588,62.3247,7.0,7.0
23.6449,62.2257,7.0,7.0
23.6307,62.1268,7.0,7.0
23.6159,62.0279,7.0,7.0
23.6013,61.9290,7.0,7.0
23.5868,61.8300,7.0,7.0
23.5723,61.7311,7.0,7.0
23.5587,61.6321,7.1,7.1
23.5456,61.5330,7.0,7.0
23.5325,61.4338,7.0,7.0
23.5196,61.3347,7.0,7.0
23.5068,61.2355,7.0,7.0
23.4933,61.1365,7.0,7.0
23.4797,61.0374,7.0,7.0
23.4664,60.9383,7.0,7.0
23.4529,60.8393,7.1,7.1
23.4387,60.7403,7.1,7.1
23.4256,60.6412,7.1,7.1
23.4127,60.5420,7.0,7.0
23.3997,60.4429,7.0,7.0
23.3868,60.3437,7.0,7.0
23.3741,60.2446,7.0,7.0
23.3614,60.1454,7.0,7.0
23.3489,60.0462,7.0,7.0
23.3366,59.9470,7.0,7.0
23.3237,59.8478,7.1,7.1
23.3104,59.7487,7.1,7.1
23.2978,59.6496,7.1,7.1
23.2860,59.5503,7.0,7.0
23.2742,59.4510,7.0,7.0
23.2615,59.3518,7.0,7.0
23.2488,59.2526,7.0,7.0
23.2363,59.1535,7.0,7.0
23.2238,59.0543,7.0,7.0
23.2114,58.9550,7.1,7.1
23.1991,58.8558,7.1,7.1
23.1871,58.7566,7.1,7.1
23.1742,58.6574,7.1,7.1
23.1613,58.5583,7.1,7.1
23.1485,58.4591,7.0,7.0
23.1358,58.3599,7.0,7.0
23.1233,58.2607,7.0,7.0
23.1109,58.1615,7.0,7.0
23.0986,58.0623,7.1,7.1
23.0866,57.9630,7.1,7.1
23.0741,57.8639,7.1,7.1
23.0615,57.7647,7.1,7.1
23.0500,57.6654,7.1,7.1
23.0384,57.5660,7.1,7.1
23.0270,57.4667,7.0,7.0
23.0149,57.3675,7.0,7.0
23.0025,57.2683,7.0,7.0
22.9904,57.1690,7.1,7.1
22.9783,57.0698,7.1,7.1
22.9664,56.9705,7.1,7.1
22.9546,56.8712,7.1,7.1
22.9420,56.7720,7.1,7.1
22.9299,56.6728,7.1,7.1
22.9185,56.5735,7.1,7.1
22.9069,56.4741,7.0,7.0
22.8955,56.3748,7.0,7.0
22.8841,56.2755,7.0,7.0
22.8728,56.1761,7.1,7.1
22.8617,56.0768,7.1,7.1
22.8506,55.9774,7.1,7.1
22.8397,55.8780,7.1,7.1
22.8288,55.7787,7.1,7.1
22.8171,55.6794,7.1,7.1
22.8055,55.5800,7.1,7.1
22.7940,55.4807,7.0,7.0
22.7827,55.3814,7.0,7.0
22.7714,55.2820,7.1,7.1
22.7604,55.1827,7.1,7.1
22.7495,55.0833,7.1,7.1
22.7378,54.9840,7.1,7.1
22.7261,54.8847,7.1,7.1
22.7146,54.7854,7.1,7.1
22.7032,54.6860,7.1,7.1
22.6920,54.5867,7.1,7.1
22.6809,54.4873,7.0,7.0
22.6700,54.3879,7.0,7.0
22.6591,54.2886,7.0,7.0
22.6483,54.1892,7.1,7.1
22.6376,54.0898,7.1,7.1
22.6269,53.9903,7.1,7.1
22.6164,53.8909,7.1,7.1
22.6060,53.7915,7.1,7.1
