# x_m, y_m, w_tr_right_m, w_tr_left_m
5.6807,-5.3788,0.9,0.9
5.6762,-5.2789,0.9,0.9
5.6649,-5.1795,0.9,0.9
5.6471,-5.0811,0.9,0.9
5.6231,-4.9841,0.9,0.9
5.5932,-4.8886,0.9,0.9
5.5579,-4.7951,0.9,0.9
5.5176,-4.7036,0.9,0.9
5.4724,-4.6144,0.9,0.9
5.4227,-4.5276,0.9,0.9
5.3687,-4.4435,0.9,0.9
5.3108,-4.3620,0.9,0.9
5.2492,-4.2831,0.9,0.9
5.1848,-4.2067,0.9,0.9
5.1175,-4.1327,0.9,0.9
5.0475,-4.0613,0.9,0.9
4.9749,-3.9925,1.0,1.0
4.9000,-3.9263,1.0,1.0
4.8228,-3.8627,1.0,1.0
4.7437,-3.8015,1.0,1.0
4.6629,-3.7426,1.0,1.0
4.5805,-3.6860,1.0,1.0
4.4967,-3.6314,1.0,1.0
4.4116,-3.5789,1.0,1.0
4.3254,-3.5282,1.0,1.0
4.2382,-3.4792,1.0,1.0
4.1501,-3.4319,1.0,1.0
4.0611,-3.3864,1.0,1.0
3.9713,-3.3423,1.0,1.0
3.8807,-3.2999,1.0,1.0
3.7896,-3.2586,1.0,1.0
3.6980,-3.2186,1.0,1.0
3.6059,-3.1797,1.0,1.0
3.5135,-3.1415,1.0,1.0
3.4208,-3.1039,1.0,1.0
3.3280,-3.0665,1.0,1.0
3.2352,-3.0294,1.0,1.0
3.1423,-2.9924,1.0,1.0
3.0493,-2.9556,1.0,1.0
2.9563,-2.9187,1.0,1.0
2.8634,-2.8816,1.0,1.0
2.7705,-2.8447,1.0,1.0
2.6775,-2.8080,1.0,1.0
2.5844,-2.7713,1.0,1.0
2.4914,-2.7347,1.0,1.0
2.3983,-2.6981,1.0,1.0
2.3053,-2.6614,1.0,1.0
2.2124,-2.6245,1.0,1.0
2.1195,-2.5874,1.0,1.0
2.0267,-2.5502,1.0,1.0
1.9340,-2.5127,1.0,1.0
1.8414,-2.4749,1.0,1.0
1.7489,-2.4369,1.0,1.0
1.6567,-2.3981,1.0,1.0
1.5648,-2.3587,1.0,1.0
1.4731,-2.3188,1.0,1.0
1.3816,-2.2784,1.0,1.0
1.2904,-2.2374,1.0,1.0
1.1996,-2.1954,1.0,1.0
1.1093,-2.1525,1.0,1.0
1.0195,-2.1085,1.0,1.0
0.9303,-2.0632,1.0,1.0
0.8419,-2.0165,1.0,1.0
0.7543,-1.9682,1.0,1.0
0.6677,-1.9183,1.0,1.0
0.5818,-1.8671,1.0,1.0
0.4968,-1.8143,1.0,1.0
0.4129,-1.7600,1.0,1.0
0.3301,-1.7039,1.0,1.0
0.2485,-1.6461,1.0,1.0
0.1684,-1.5862,1.0,1.0
0.0899,-1.5243,1.0,1.0
0.0131,-1.4602,1.0,1.0
-0.0618,-1.3939,1.0,1.0
-0.1346,-1.3254,1.0,1.0
-0.2055,-1.2549,1.0,1.0
-0.2742,-1.1822,1.0,1.0
-0.3407,-1.1075,1.0,1.0
-0.4049,-1.0308,1.0,1.0
-0.4663,-0.9520,0.9,0.9
-0.5247,-0.8707,0.9,0.9
-0.5791,-0.7869,0.9,0.9
-0.6292,-0.7003,0.9,0.9
-0.6743,-0.6111,0.9,0.9
-0.7142,-0.5194,0.9,0.9
-0.7485,-0.4255,0.9,0.9
-0.7770,-0.3296,0.9,0.9
-0.7993,-0.2322,0.9,0.9
-0.8151,-0.1334,0.9,0.9
-0.8241,-0.0339,0.9,0.9
-0.8260,0.0661,0.9,0.9
-0.8207,0.1659,0.9,0.9
-0.8081,0.2651,0.9,0.9
-0.7881,0.3631,0.9,0.9
-0.7608,0.4593,0.9,0.9
-0.7263,0.5531,0.9,0.9
-0.6850,0.6442,0.9,0.9
-0.6373,0.7320,0.9,0.9
-0.5836,0.8164,0.9,0.9
-0.5246,0.8971,0.9,0.9
-0.4606,0.9739,0.9,0.9
-0.3923,1.0470,0.9,0.9
-0.3203,1.1164,0.9,0.9
-0.2450,1.1821,0.9,0.9
-0.1665,1.2441,0.9,0.9
-0.0850,1.3021,0.9,0.9
-0.0004,1.3553,0.9,0.9
0.0870,1.4039,0.9,0.9
0.1768,1.4480,0.9,0.9
0.2685,1.4876,0.9,0.9
0.3620,1.5232,0.9,0.9
0.4569,1.5547,0.9,0.9
0.5530,1.5825,0.9,0.9
0.6500,1.6067,0.9,0.9
0.7479,1.6272,0.9,0.9
0.8464,1.6443,0.9,0.9
0.9454,1.6582,1.0,1.0
1.0448,1.6691,1.0,1.0
1.1445,1.6774,1.0,1.0
1.2443,1.6831,1.0,1.0
1.3442,1.6869,1.0,1.0
1.4442,1.6888,1.0,1.0
1.5442,1.6890,1.0,1.0
1.6442,1.6878,1.0,1.0
1.7442,1.6852,1.0,1.0
1.8442,1.6823,1.0,1.0
1.9441,1.6800,1.0,1.0
2.0441,1.6794,1.0,1.0
2.1441,1.6802,1.0,1.0
2.2441,1.6829,1.0,1.0
2.3440,1.6872,0.9,0.9
2.4438,1.6938,0.9,0.9
2.5434,1.7027,0.9,0.9
2.6427,1.7143,0.9,0.9
2.7416,1.7292,0.9,0.9
2.8399,1.7476,0.9,0.9
2.9374,1.7699,0.9,0.9
3.0338,1.7964,0.9,0.9
3.1288,1.8275,0.9,0.9
3.2220,1.8637,0.9,0.9
3.3130,1.9052,0.9,0.9
3.4012,1.9523,0.9,0.9
3.4860,2.0052,0.8,0.8
3.5668,2.0641,0.9,0.9
3.6431,2.1288,0.8,0.8
3.7146,2.1987,0.8,0.8
3.7807,2.2737,0.8,0.8
3.8411,2.3534,0.8,0.8
3.8955,2.4373,0.8,0.8
3.9437,2.5248,0.8,0.8
3.9859,2.6155,0.9,0.9
4.0217,2.7089,0.9,0.9
4.0514,2.8043,0.9,0.9
4.0752,2.9014,0.9,0.9
4.0935,2.9997,0.9,0.9
4.1067,3.0989,0.9,0.9
4.1150,3.1985,0.9,0.9
4.1189,3.2984,0.9,0.9
4.1186,3.3984,0.9,0.9
4.1145,3.4984,0.9,0.9
4.1069,3.5981,0.9,0.9
4.0963,3.6975,0.9,0.9
4.0830,3.7966,0.9,0.9
4.0671,3.8953,0.9,0.9
4.0492,3.9937,0.9,0.9
4.0297,4.0918,1.0,1.0
4.0087,4.1896,1.0,1.0
3.9871,4.2872,1.0,1.0
3.9650,4.3848,1.0,1.0
3.9421,4.4821,1.0,1.0
3.9183,4.5792,1.0,1.0
3.8933,4.6761,1.0,1.0
3.8673,4.7726,1.0,1.0
3.8405,4.8690,1.0,1.0
3.8130,4.9651,1.0,1.0
3.7851,5.0612,1.0,1.0
3.7569,5.1571,1.0,1.0
3.7284,5.2529,1.0,1.0
3.6997,5.3487,1.0,1.0
3.6711,5.4446,1.0,1.0
3.6423,5.5403,1.0,1.0
3.6130,5.6360,1.0,1.0
3.5836,5.7315,1.0,1.0
3.5539,5.8270,1.0,1.0
3.5242,5.9225,1.0,1.0
3.4945,6.0180,1.0,1.0
3.4647,6.1135,1.0,1.0
3.4348,6.2089,1.0,1.0
3.4051,6.3044,1.0,1.0
3.3759,6.4000,1.0,1.0
3.3471,6.4958,1.0,1.0
3.3187,6.5917,1.0,1.0
3.2907,6.6877,1.0,1.0
3.2626,6.7837,1.0,1.0
3.2341,6.8795,1.0,1.0
3.2050,6.9752,1.0,1.0
3.1749,7.0706,1.0,1.0
3.1435,7.1655,1.0,1.0
3.1107,7.2600,1.0,1.0
3.0764,7.3539,1.0,1.0
3.0401,7.4471,1.0,1.0
3.0019,7.5395,1.0,1.0
2.9614,7.6310,1.0,1.0
2.9188,7.7214,1.0,1.0
2.8737,7.8107,1.0,1.0
2.8260,7.8986,1.0,1.0
2.7754,7.9848,1.0,1.0
2.7218,8.0692,1.0,1.0
2.6650,8.1516,0.9,0.9
2.6049,8.2315,0.9,0.9
2.5414,8.3087,0.9,0.9
2.4743,8.3829,0.9,0.9
2.4038,8.4538,0.9,0.9
2.3299,8.5211,0.9,0.9
2.2526,8.5846,0.9,0.9
2.1720,8.6437,0.9,0.9
2.0883,8.6984,0.9,0.9
2.0017,8.7483,0.9,0.9
1.9123,8.7931,0.9,0.9
1.8204,8.8326,0.9,0.9
1.7263,8.8664,0.9,0.9
1.6303,8.8945,0.9,0.9
1.5329,8.9169,0.9,0.9
1.4343,8.9335,0.9,0.9
1.3349,8.9445,0.9,0.9

